txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type
cbfbf52ba249592ff3c8172b823e8414ece825e1219b6eb216b256b0cbc13fb2,2025-06-01 00:00:10.813105,['3LZWZA3hkj9FYzZ5BwYGXnZGQSk2ftnkpe'],"['bc1q9rnn4e8f6u5sqxrzhl9wzkjdx9gw3hchq4f96h', 'bc1qvyrqakpfjwx0qmsd8qz3m6ej34rqr4r4ejxljh']",[2.560708218122304],"[0.4869206188478255, 2.0737492806812767]",3.831859320188818e-05,P2SH
e197f06baaf1ce63e90b85c67bc751d7dac5e8bfcf666775f3cac6a575747ba4,2025-06-01 00:01:52.846210,['bc1qtw7mcy4grjcdz9culjvxcqy46eqes6r4h2u2ty'],['bc1qz87lae4lx3f72upr4a7vugpj40mp47tzerwpe2'],[2.871174061118143],[2.8710049607847274],0.0001691003334155,P2WPKH
2719184c56d0817e276a41de4842ef44ec044ce2a2ed2aa5cdd66186591665b1,2025-06-01 00:05:39.398410,['1FR66NUqyZYqRaDtg5DpxuRDTcRRqcTFQw'],"['bc1qfem06jeampq49an43wgd7pfldjfa2nq96whd47', 'bc1qlpsf3n7zc64cgx4wn9vxg7a0emak6sw3p2s3ad']",[3.798193800506036],"[0.22242749275463158, 3.5756362719546475]",0.0001300357967571,P2PKH
252a3f34a117ade7da61a5c1b20c43a818345ed61fa9a44974493754c6840392,2025-06-01 00:06:23.825571,['1AZc8RhRj5hLBCgh9MPottWnZUxFGTmknR'],"['bc1q5ptwvg7uph9mv9u2wdx2y5h38fs4dnqj3vpwr0', '1CPB3mYKmGLFq7Q1uUYuqph15WL1AeD32S', 'bc1qcv0rs9uay05dyed5q52wqx8jgpw52zmhftw6vr']",[5.165904160687808],"[1.491722571643265, 3.138457349658307, 0.5353101396969614]",0.0004140996892747,P2PKH
e850fe00a885138e4c60ec4951b8bde7ca1384385c6892c295bc2b7ff84898b7,2025-06-01 00:06:57.853937,['bc1q3xk0d3ks059gxw0gz63js4zd5e32lmswprx4la'],['bc1q45644f6j5m6rv3grlcru9hynzy9alkqtje7tv7'],[1.8211420715923214],[1.821087359561296],5.471203102550331e-05,P2WPKH
c4e3e174ffeff0f573923b403840afad00f168cc017a2645c5a430ec6cebc6c6,2025-06-01 00:07:42.972182,['14KdtNrmxjvXHjK1vsnFxg2SdvT88HNv88'],"['3EXxtHcQnCRHjr3soR3XRJzCoDhiVuzQkm', 'bc1qkd0n5qq8jh6ghx5u6hhmpj9uypehr6m8yvvqp3']",[4.480335539344115],"[4.281204977261574, 0.19910075686046458]",2.9805222076757693e-05,P2PKH
27913cea6cee1c72b37f01f60631fc109163a313e6e6afe81fe2f390a80908a4,2025-06-01 00:11:34.060910,['bc1q7lpjpm7qy7k4fgn975pwtl3cxnegevga7mv3j4'],"['bc1qp0hrl5uv3tp82qaylkclvy66trk9pmefwle55c', 'bc1qpkm2l8qa74j8flwpcgcss3gpvxy9pmalphart0', '3KPX1vbpS9mRyEGURXPccJKgWMvMhzNjwf']",[3.912927839162815],"[0.9654014031726618, 0.7647049622501414, 2.182789362059634]",3.211168037797578e-05,P2WPKH
0957a4bf34832bed13ccad319cb70221b044bcb8c37f64c11aa23e86534194a7,2025-06-01 00:21:42.317676,['1FbxCAdEpW5vvJXLwQmMMfwbeVxXRkkgr9'],['bc1qsqx4jya0j5vypzpl3eahdwtxqsgswlfk7ltlak'],[1.4298811155416915],[1.4298453098102115],3.580573148002282e-05,P2PKH
79c2793227544b465fa85933c304293f1e8c781fb34a5d33d596119f3cb7fba2,2025-06-01 00:22:50.571616,['1Dj3rmAeLH9uLMcSJgo33AhQrXT1i1TcNT'],"['bc1qvknf6k804rxyq8unnz37genv6l6xxgnmhm07gd', '1ArsWbrbnCcxEShmR1sabncHu1Mdhg2QpK']",[3.4529315572942156],"[1.3032555001277957, 2.149615742526422]",6.031463999814307e-05,P2PKH
d62281554351423c0ea15b94a868c722d88c7726d517fff2f43c17bf548ba7a0,2025-06-01 00:25:34.612619,['bc1p7zfc837gefhzrgsaj72vp4k9cy8mvc4vspatay72tfhx7akn2pksjj0ysc'],"['bc1q7ullhe02303v7lurtljupwye9tvax4tu895k5h', 'bc1qve085nu7q3vmqwgtupd9cyes7mx4fjsnmasjp8', 'bc1qges8k2kgkwdkyey882pg366qrxdwvldy8wsvtt']",[8.034528870353517],"[2.2339963867107024, 2.407492531739529, 3.393003095750194]",3.685615309099876e-05,P2TR
e62834676eeedd5a839d3f73c16b557778d514722ce9c6f9ac17194f5af8c744,2025-06-01 00:25:53.293470,['bc1qp3wfyupwu3f6gw3nfr2f0vdtskz6y0xwj6zurv'],['1ov7yFw6rua75UzjJEKh8doVVauVmYfGC'],[0.886292422372119],[0.8860010090480533],0.0002914133240657,P2WPKH
06e750837a5bfb4d937c38e146209e2166e9948b8e0088833abb3721dcc22458,2025-06-01 00:30:32.005320,['1PRFvACGkSpki2EFisBaX5s8hM2xvbpZWe'],"['3BsXgaRkPjoRQHRhfz3yeKukkU9zN9cNzH', '1M7MmM49uM8iPnMQtrpg3WewHRr3BWqTud', '1HEJCiBEnoujqpcmQjQ1U4Pz1DYD8m47At']",[5.591492282039842],"[1.322600454033855, 0.4585347611415112, 3.8102465666536465]",0.000110500210829,P2PKH
0941354a4dd29f82184c08f4178a2391abff7d327c7ca630a8745adfe00c1b31,2025-06-01 00:31:14.568786,['bc1qncu5kkcljp8rf3l46a7llm3gkzvsyfmm7xgw7z'],['bc1qj8k52je9cckqh0sx940uauvwvlxmkyvjegha4f'],[0.2769367762012691],[0.27686755513028133],6.922107098780055e-05,P2WPKH
4184762696b6f1b3ba34c3d7a8fefe5eb0ba3b636dceba45d791c1dbfa5b4aaf,2025-06-01 00:32:27.349225,['bc1quhpl7c4rlsr7kkt9lajju3mjp7kyss0elq325l'],['3EiJLkGmat5bhTfb2cSwARb6aSTPf4bFtN'],[2.837214906844973],[2.837186731226306],2.8175618666830145e-05,P2WPKH
144bce85c7b2adebe4abb6947dbd488636cac40cb78a090dd594df86cf404de7,2025-06-01 00:54:36.335378,['3CHXqEaBFTJWeC6cZkvq2BHcH9LxPgPDQt'],"['bc1qxmq8mmyndqwt42j5xkxmpzjg26eg9694gegp3n', 'bc1q43hgfkce5sm77m2g7x9945vh9d7epy24cn00gr']",[0.9381793284399477],"[0.2870116349156193, 0.651015254089004]",0.0001524394353243,P2SH
ec3824fa070779818636e352c31d0b071633b6f33ab01045f1435071d9336eb6,2025-06-01 00:55:42.243161,['1AZTQ1PyajyR8zoMXPuPaPmRhq18HysFQc'],"['35jrXkBTFRg56NcJncLvEXx21qERi5WRtx', '1LR5Zq51nvCwt4Crquk4fBWi47YKVcCLoc']",[8.385863454277116],"[1.085120604753938, 7.3004526881133405]",0.0002901614098375,P2PKH
2269e486691c85e3c423ee287dc4b72581b7dae2bf69417767505b76d7cfc776,2025-06-01 01:00:21.917155,['1HamvW4WfYu5RBLqHtfjnPcMJNpQAZ7J2q'],"['bc1qa6f7y34ascptfqngfn5885tpjuwgjetkz5uzkh', '34rkZRmAZxAGPHUXTQpquHBVEiNqMjg5Bm', '3MAEY2S9PxNxfq8BzN971K1eo1numCfUQ8']",[3.4767130627205423],"[1.4612199778034107, 0.8159003928208078, 1.1995042654585506]",8.842663777353443e-05,P2PKH
d58b1bba4b4269c83a6bc94012a62954e7b3677d733e97170634eb4ea154480b,2025-06-01 01:09:50.747893,['32FeHBqHULC41Pu6wLDfSqpzFQECyYEGML'],['1KPnHa7CVFXCRfphLDRmLmjqyGGNfdUSyo'],[2.0626317691736453],[2.0622215463976246],0.0004102227760208,P2SH
61f85138b03f3b1634271647bd595e375b34600fc038356e7ee8f8666bb36df2,2025-06-01 01:10:51.280798,['bc1ql9fqfrkhqvelqpgqa3k55wlmz4pkklvjp0tc0w'],"['17uegZdmGAVyRbaRH9S5xjnjobnvuhLVX9', '1EzkTKUsuyjqXJP8v7TKooGha6Z1i5iozc', 'bc1qv8gxm8xxqy64nv9ppeq8gwf64uwn60897ydys0']",[7.374928614633723],"[2.9043196193061362, 3.273030614139603, 1.1973316112400854]",0.0002467699478978,P2WPKH
74a57e9bd14844c3ac02606b6bc0cf347dde0829f75a5182e130453a86e84ae2,2025-06-01 01:26:34.055156,['1s9SvFb8KgUGH2gEnbw6W4ZYG361HVVGZ'],['1FiGN4bsbFo7pdq7PEcpuGdGqh4jgh2f2i'],[1.7307517275552078],[1.7306109571778223],0.0001407703773853,P2PKH
19fe44bbc158f8ab086f6da0c238aaead2dbddc510952a506c22d908855265b3,2025-06-01 01:31:21.640060,['bc1psc247kyn2uqfm8lhyq86ddy35pqdv2cyg8jw0a52vv89qpeg8e9sjt2vlf'],"['bc1pqjsku3djdkwptqwfxq4yd5lp30q5cn2g9atn9nd7g0qpwam5wwaqcnek9y', 'bc1q9veeprcqpyvlnmk0pkkretcmadne69l6a6c7eu']",[2.386559946614906],"[1.2354186445574926, 1.1508263887619317]",0.0003149132954819,P2TR
cc2019433b901f2ae7ef7d95a02bbb0249bb6438e1d77af62d4fbc12964fa94f,2025-06-01 01:38:04.243960,['39bzwN2Ts9fgZwZ679dELAX7DTx8wd3qB6'],['bc1q3sygp3lmx4wvzeamqq2qtycwjey4vylc3cmxsm'],[0.47844220564486156],[0.478304340191096],0.0001378654537655,P2SH
3c67405b8b3030c8ae128894112213b624b05e11556345bd7022f1891e855a8c,2025-06-01 01:49:01.836226,['bc1qe79m3utv84tpvfck2c82mjuccfgw4e6eeswln9'],"['bc1ppx0h2vvqzlzy0nz7n0er8kta5rwkdcq0hwacreyp3fqde20qc2xsfad4kd', 'bc1qfh4y2wgfaxfpav33k8tghzt0d8qm9y43ydmfm0']",[10.848422863593797],"[9.347156860039586, 1.5012190759143826]",4.692763982803068e-05,P2WPKH
b5c0f36dae86ded0777949c3c62681e5785538ec08d98959c7340060fb5b36b0,2025-06-01 01:54:41.320187,['bc1qfktnthasrpfl09mtre4rk9dd5cv9582p6eyvrm'],['bc1qrx50xjgvwtq0jl85cpt45rcxsqk769cpcthuke'],[0.45812089813424745],[0.45798670294471866],0.0001341951895287,P2WPKH
ec84d8065c15ce4f328973e48e63e5cf32277873e0a6f59a92aca957ac5551c0,2025-06-01 02:07:46.876892,['bc1q9grmwg6n47x2ze6cu2aesd3pn3gcks3rdasnyr'],"['bc1qvpelharn5z85luujeyryzymfpky7hs0vl9t57r', '1HQsfcDPP1nnJqWstTzxqiQboFAWNFH4V6', 'bc1qee9j6eg9xzu5akh9sjm029g63evclyy2vha9g9']",[3.5388947568010596],"[0.5782879551272088, 2.5101711256299644, 0.4504307910040889]",4.885039797404891e-06,P2WPKH
c185f8b9240b91220ca48d231eb79d40b70a4c79809e9296640142468ff142e7,2025-06-01 02:08:40.287892,['35zMFxmypRpkse6cjCY7tUayh3GzAYN9kV'],"['bc1q0tv8m5xy4cx4sqzp8egnwl7dn3fuhjevdes30n', 'bc1q0g2e9w2jqjkwpmrwr24sq5e6lzdz9ql2k7y34m', '149SoxZEDRReKVr6GKgvHs4K1Y24HFigSY']",[1.6377217161395656],"[0.6445299974570139, 0.6468794766133936, 0.345923720294341]",0.000388521774817,P2SH
762e2c087b6bcb68c2bbf9badb53dde4babbc56a67f85b21bf7b983ce1d81f11,2025-06-01 02:08:59.432607,['1LCjGwjn5JRZoc4tC6PfHz7JwNN88F9kCA'],"['346BiJAD1WLf1vvebCaFFF17PDpmQVakrV', '1Dn2mhidvQv83T271BjbjCLqbgeWi3Cqjf', '12Nx1aEFgLd7tSoDkDK9NwUtPPjtBSYdiq']",[1.2479651229654916],"[0.3141903759147639, 0.4673300918738724, 0.46637731664505877]",6.733853179670545e-05,P2PKH
