txid,timestamp,src_ip,dst_ip,src_port,dst_port,geo_country,asn
cbfbf52ba249592ff3c8172b823e8414ece825e1219b6eb216b256b0cbc13fb2,2025-06-01 00:00:14.192553,106.182.23.94,11.214.79.74,41192,64367,CA,AS24940
cbfbf52ba249592ff3c8172b823e8414ece825e1219b6eb216b256b0cbc13fb2,2025-06-01 00:00:16.215992,11.214.79.74,45.164.246.253,8333,8333,CA,AS8075
cbfbf52ba249592ff3c8172b823e8414ece825e1219b6eb216b256b0cbc13fb2,2025-06-01 00:00:19.184151,45.164.246.253,108.183.88.247,8333,8333,DE,AS9009
e197f06baaf1ce63e90b85c67bc751d7dac5e8bfcf666775f3cac6a575747ba4,2025-06-01 00:01:55.918317,17.47.35.109,2.27.45.216,8333,8333,CN,AS4134
e197f06baaf1ce63e90b85c67bc751d7dac5e8bfcf666775f3cac6a575747ba4,2025-06-01 00:01:58.896661,2.27.45.216,122.223.17.119,8333,8333,DE,AS9009
e197f06baaf1ce63e90b85c67bc751d7dac5e8bfcf666775f3cac6a575747ba4,2025-06-01 00:02:01.675643,122.223.17.119,5.184.208.54,8333,8333,DE,AS15169
e197f06baaf1ce63e90b85c67bc751d7dac5e8bfcf666775f3cac6a575747ba4,2025-06-01 00:02:02.360329,5.184.208.54,147.216.61.226,8333,8333,US,AS8075
e197f06baaf1ce63e90b85c67bc751d7dac5e8bfcf666775f3cac6a575747ba4,2025-06-01 00:02:03.545445,147.216.61.226,193.26.175.219,8333,49754,BR,AS4134
e197f06baaf1ce63e90b85c67bc751d7dac5e8bfcf666775f3cac6a575747ba4,2025-06-01 00:02:07.093342,193.26.175.219,67.22.143.100,8333,8333,IN,AS16509
2719184c56d0817e276a41de4842ef44ec044ce2a2ed2aa5cdd66186591665b1,2025-06-01 00:05:41.927668,160.240.40.122,89.207.216.228,8333,8333,US,AS16509
2719184c56d0817e276a41de4842ef44ec044ce2a2ed2aa5cdd66186591665b1,2025-06-01 00:05:43.052797,89.207.216.228,46.50.108.142,3679,8333,GB,AS15169
2719184c56d0817e276a41de4842ef44ec044ce2a2ed2aa5cdd66186591665b1,2025-06-01 00:05:46.135410,46.50.108.142,187.233.120.92,8333,53706,DE,AS4134
2719184c56d0817e276a41de4842ef44ec044ce2a2ed2aa5cdd66186591665b1,2025-06-01 00:05:46.401525,187.233.120.92,130.29.146.245,8333,8333,GB,AS24940
252a3f34a117ade7da61a5c1b20c43a818345ed61fa9a44974493754c6840392,2025-06-01 00:06:27.796369,215.116.153.138,6.80.75.45,21410,8333,JP,AS8075
252a3f34a117ade7da61a5c1b20c43a818345ed61fa9a44974493754c6840392,2025-06-01 00:06:30.715048,6.80.75.45,84.73.160.22,13115,8333,CA,AS16509
e850fe00a885138e4c60ec4951b8bde7ca1384385c6892c295bc2b7ff84898b7,2025-06-01 00:06:59.788238,75.182.62.15,179.142.25.234,8333,8333,IN,AS16509
e850fe00a885138e4c60ec4951b8bde7ca1384385c6892c295bc2b7ff84898b7,2025-06-01 00:07:01.020432,179.142.25.234,144.173.234.231,8333,8333,BR,AS4837
e850fe00a885138e4c60ec4951b8bde7ca1384385c6892c295bc2b7ff84898b7,2025-06-01 00:07:01.980246,144.173.234.231,161.66.56.154,8333,8333,NL,AS24940
e850fe00a885138e4c60ec4951b8bde7ca1384385c6892c295bc2b7ff84898b7,2025-06-01 00:07:02.507608,161.66.56.154,20.42.62.48,8333,8333,RU,AS3320
c4e3e174ffeff0f573923b403840afad00f168cc017a2645c5a430ec6cebc6c6,2025-06-01 00:07:44.070197,26.97.218.31,87.137.138.135,8333,8333,FR,AS4134
c4e3e174ffeff0f573923b403840afad00f168cc017a2645c5a430ec6cebc6c6,2025-06-01 00:07:45.123399,87.137.138.135,111.85.10.254,8333,8333,DE,AS24940
