wallet_id,address,scenario,scenario_id,role
W00001,bc1q3mrjht238fsmh4hlmuy08e9rktrazzmscej7vj,legit,,normal
W00002,33unpGuFzmER93tBY2jrcf8ietD7uvU9cN,legit,,normal
W00003,bc1q0mtcd6e7lxtms8vexlvwzcdn356luay8dsk4gj,legit,,normal
W00004,bc1q00su33v2sga39ayv6z4e6ct3hrcgxu48075vhv,legit,,normal
W00005,1LtnReyCEvXxsBZDqYQVGpub9HmbCAHCT4,legit,,normal
W00006,bc1pxshetgluwdussf8jy2ex9vzfv0sny7e5edvf9yv8f3wm4m38p88s969m4e,legit,,normal
W00007,1CBShAeVEYDMZhcQ5uiLrgpNDF9icsPSQ2,legit,,normal
W00008,19Y5Hzu1BbspHP1c2MfuNToq3Hkt1kT2XF,legit,,normal
W00009,1DHGD42otN4PcGuh9j6xB2YQ6mZWoquCyh,legit,,normal
W00010,31paem2oBHNZDvUSCbGgQGG6ifjJcsBCUP,legit,,normal
W00011,bc1qwpn2hpa7s64k6mlzygxvtjf67ycmvllxx9hxsn,legit,,normal
W00012,bc1p25a903v9ss49h00w8f744v4nr2mvwfdv5l4jkphl0w478jn6z6usrxlam2,legit,,normal
W00013,1Nyj47EL32BfV8fddyVcfENTVPQoMQwvn5,legit,,normal
W00014,bc1p64tacxdd7gz2ddvknzetvt2yllc8t6k8py583kepjmluaxpnffks2klag5,legit,,normal
W00015,1261ar399Dik2oQyx6Zovk8YgTWwcY9rnq,legit,,normal
W00016,bc1p807g4ftcs2kpslcxdyj9v8z43zzvurtnr7yf3dq4cdqeldj3u2ussxkpty,legit,,normal
W00017,bc1q3hzp0lt2k5pxsgcadjcrtzs0pwez9e40muuz5z,legit,,normal
W00018,bc1qfcam6q5yakyw5k3q3trzuw6fkaezct3l2yxf9q,legit,,normal
W00019,3BWKumSoC2MKJ39PfajBAwJbbNbpvNHTra,legit,,normal
W00020,1Km2io4jMbJTZVeCjPJS5ruo3TtKfzr5G,legit,,normal
W00021,bc1q74vqln4mjvvuf6yaassdpzrvntjz0l8k4y59kw,legit,,normal
W00022,bc1qfem06jeampq49an43wgd7pfldjfa2nq96whd47,legit,,normal
W00023,bc1qywjrv972ch24049arvwnhd2luv3prq9mvas6gr,legit,,normal
W00024,bc1qmq0jsleu4dj3aafgzs9za2kxg762ayfnfczm4s,legit,,normal
W00025,17fheLPjC7LruB1YKEvi1xAtCgkJtewsWQ,legit,,normal
W00026,3HQ5AVJPFu1LBFEfY4J4MeaWMQkTNWgRHL,legit,,normal
W00027,3MAEY2S9PxNxfq8BzN971K1eo1numCfUQ8,legit,,normal
W00028,bc1q32mtt2j8cfs7866aflrmlpkjjvt0gj5qk06djc,legit,,normal
W00029,bc1q2gku09pg07cyrdq3jx4xmqhzlp7fzmncuunxx7,legit,,normal
W00030,1DCZJc1Yr2wa9yEn4s2zRvy38VXZAr5ZbQ,legit,,normal
W00031,bc1pll9xe5m9huuz3hrk3039sush80psvrwqexy58j5n3wje5dzqznqsw62ns5,legit,,normal
W00032,34mqYN9xruwH4NZpVThTP4QXz9XstGiKDM,legit,,normal
W00033,bc1qc8ag85jy5wvyuakta9csrxvs32pg3z304x5gqq,legit,,normal
W00034,1Mu6P7wwPR6K9mkJxDrKiYxy8Uy8WzgbMh,legit,,normal
W00035,bc1qn68palhs4l8cazjsnu8x4yjy2sv2mejjtrqd9x,legit,,normal
W00036,19YquF5RyFTVr9zxzixruHQ6opLyw9Tuzg,legit,,normal
W00037,bc1qa6j8kuvps2u033ejshg7fpk5wqysl3pa62feah,legit,,normal
W00038,bc1qrrt85l60u8vlgjfs39rsq3ujquzdetgp2wh7rg,legit,,normal
W00039,bc1p44j2nuhr5n7rvs2askw5l835ysaql2hret8484xxxzqsfqq7hf4s9qz2h3,legit,,normal
W00040,17xfm18rYBJHY4v3BrdjUMX2UUYgBGZyM3,legit,,normal
