wallet,tx_count,avg_amount,total_amount,avg_fee,sender_count,receiver_count,avg_time_gap_seconds,fan_ratio,suspicion_score,is_anomaly,wallet_id,address,scenario,scenario_id,role,actually_suspicious,model_flagged
1CLGfLVNJvPivTSnh4HJ12AQkvJwv34Sue,1,86.27742101564647,86.27742101564647,0.0001172325963507,0,1,0.0,0.0,100.0,Yes,W04059,1CLGfLVNJvPivTSnh4HJ12AQkvJwv34Sue,ransomware,R001,sweep_destination,True,True
bc1qmfrmma84yyjyv4j5kjyw0kyssyu0rpkrqe8w74,1,76.17521389597096,76.17521389597096,0.0001183241079292,0,1,0.0,0.0,98.92,Yes,W04230,bc1qmfrmma84yyjyv4j5kjyw0kyssyu0rpkrqe8w74,ransomware,R006,sweep_destination,True,True
bc1qww3hsfq8gtyjp7f8dfgsnft77d6xpatqsawuu8,2,38.89846320687609,77.79692641375217,6.121334386512405e-05,1,1,1697.562023,0.5,96.84,Yes,W04494,bc1qww3hsfq8gtyjp7f8dfgsnft77d6xpatqsawuu8,peeling,P011,change,True,True
127YDyyydje7eUPc1soMzwmAUdYUDDkHtN,2,31.369531131484266,62.73906226296853,2.8155817898307103e-05,1,1,1434.70848,0.5,96.15,Yes,W04396,127YDyyydje7eUPc1soMzwmAUdYUDDkHtN,peeling,P007,change,True,True
1BJSQsvwi8cs9pBmmZGs9GsP9BFP6KTxNs,2,36.22764262678228,72.45528525356455,4.6220524387062745e-05,1,1,1632.327904,0.5,96.08,Yes,W04498,1BJSQsvwi8cs9pBmmZGs9GsP9BFP6KTxNs,peeling,P011,change,True,True
bc1qmj7gmryj6evpnwuuz28azlzeppudelp43gu3km,2,38.037128120717846,76.07425624143569,5.077450480855405e-05,1,1,406.715928,0.5,96.04,Yes,W04496,bc1qmj7gmryj6evpnwuuz28azlzeppudelp43gu3km,peeling,P011,change,True,True
bc1qstp0ylj0ysa9m77ly77cagveelg7fhywmzxc7w,2,33.06563611550683,66.13127223101365,4.4734523226370605e-05,1,1,1565.228636,0.5,94.73,Yes,W04500,bc1qstp0ylj0ysa9m77ly77cagveelg7fhywmzxc7w,peeling,P011,change,True,True
154NMojWTHTYc12aKqjy9BDixkATQMb4wu,2,34.14711199452209,68.29422398904418,4.396796060737213e-05,1,1,1097.332547,0.5,94.73,Yes,W04394,154NMojWTHTYc12aKqjy9BDixkATQMb4wu,peeling,P007,change,True,True
bc1qm96vntchhz0704d5x5sdev8y8zqfu7zf668wnl,2,34.95947629815315,69.9189525963063,0.0001179168134504,1,1,717.086498,0.5,93.71,Yes,W04303,bc1qm96vntchhz0704d5x5sdev8y8zqfu7zf668wnl,peeling,P004,change,True,True
1AhZq3UDRPUFZmKRCJeJtkK4SpCqny1fE6,2,29.95461980438137,59.90923960876273,4.656364890882876e-05,1,1,636.459208,0.5,92.85,Yes,W04307,1AhZq3UDRPUFZmKRCJeJtkK4SpCqny1fE6,peeling,P004,change,True,True
1N39hpTRmApyD9aVxDUh8ofoZqgSS4apnG,2,32.55464840671158,65.10929681342316,7.071196768792699e-05,1,1,754.017944,0.5,92.71,Yes,W04305,1N39hpTRmApyD9aVxDUh8ofoZqgSS4apnG,peeling,P004,change,True,True
bc1qpceyfulk87hthm3feleepqnr2p2crq63amrjxq,2,29.940289866793616,59.88057973358723,5.582211426911896e-05,1,1,1351.431518,0.5,92.22,Yes,W04232,bc1qpceyfulk87hthm3feleepqnr2p2crq63amrjxq,peeling,P001,change,True,True
bc1qc2xkvmeu960ng3prkqdg2pv6h50pmg5cpzge6d,2,29.051649169168225,58.10329833833645,4.196740561774377e-05,1,1,1129.715162,0.5,92.19,Yes,W04309,bc1qc2xkvmeu960ng3prkqdg2pv6h50pmg5cpzge6d,peeling,P004,change,True,True
bc1qr742m20l3n97z3gfwzzuyx6hxzh2rclgcja9hl,2,30.88047708419409,61.76095416838818,9.453239172577708e-05,1,1,1777.156612,0.5,91.84,Yes,W04504,bc1qr742m20l3n97z3gfwzzuyx6hxzh2rclgcja9hl,peeling,P011,change,True,True
bc1p5gkq44ptlm3qh3swwt2fqa2hwkcf8ry0vj09pns6dyl8pmtxxypqu9av4y,2,32.12403431528309,64.24806863056618,9.038011478965091e-05,1,1,366.716219,0.5,91.04,Yes,W04502,bc1p5gkq44ptlm3qh3swwt2fqa2hwkcf8ry0vj09pns6dyl8pmtxxypqu9av4y,peeling,P011,change,True,True
31wXvyQiJcSKrodskLHCVZbc1h7xNYYFnV,2,29.278774866730267,58.55754973346053,0.0001351907912932,1,1,440.5438,0.5,90.9,Yes,W04398,31wXvyQiJcSKrodskLHCVZbc1h7xNYYFnV,peeling,P007,change,True,True
bc1pegeyvrvxuetektmcxvrepny9a28qxcthcv2hsnqr7akxec2g93qseh67pf,1,37.64755656454428,37.64755656454428,0.0001650300273501,1,0,0.0,1.0,90.8,Yes,W04302,bc1pegeyvrvxuetektmcxvrepny9a28qxcthcv2hsnqr7akxec2g93qseh67pf,peeling,P004,starting_source,True,True
3FmK2pVT9x7jWEdVpc2GtcJ9SeZHMbMcki,2,27.75685527338773,55.51371054677546,0.0001218166116917,1,1,1531.274982,0.5,90.54,Yes,W04508,3FmK2pVT9x7jWEdVpc2GtcJ9SeZHMbMcki,peeling,P011,change,True,True
bc1q85m3lh2jmm7yw0mp8hsvk7s2yesq22y7x5eqen,2,28.67355610207052,57.34711220414103,0.0001396856434605,1,1,410.429201,0.5,90.38,Yes,W04506,bc1q85m3lh2jmm7yw0mp8hsvk7s2yesq22y7x5eqen,peeling,P011,change,True,True
bc1pf6llflkfuhlrf37qw98uuvgex8d2g92t04x6rf52940ywv3kuxfq5rrukp,1,32.3220296547578,32.3220296547578,1.409313907295257e-05,1,0,0.0,1.0,89.65,Yes,W04231,bc1pf6llflkfuhlrf37qw98uuvgex8d2g92t04x6rf52940ywv3kuxfq5rrukp,peeling,P001,starting_source,True,True
bc1q50vyftultcuwfq20qfnwsnwdpklssvvde2f456,2,27.787707587305377,55.575415174610754,0.0001404691361312,1,1,481.847294,0.5,89.61,Yes,W04400,bc1q50vyftultcuwfq20qfnwsnwdpklssvvde2f456,peeling,P007,change,True,True
31k5Sdr7LPCKdMFQpGX8ShzBcc2zZPeJV8,1,37.23541797276255,37.23541797276255,0.0001449355326126,0,1,0.0,0.0,88.43,Yes,W04179,31k5Sdr7LPCKdMFQpGX8ShzBcc2zZPeJV8,ransomware,R005,sweep_destination,True,True
33H84B5LmnerfAASjYmo9NHGV7D3Jx3XxM,1,39.87032635733463,39.87032635733463,6.562168311932615e-05,1,0,0.0,1.0,88.28,Yes,W04493,33H84B5LmnerfAASjYmo9NHGV7D3Jx3XxM,peeling,P011,starting_source,True,True
3QGRNMp5c8KTQKyv173RoqCGfyX5X7wHdu,1,31.51595999702373,31.51595999702373,2.911491415275603e-05,0,1,0.0,0.0,88.07,Yes,W04142,3QGRNMp5c8KTQKyv173RoqCGfyX5X7wHdu,ransomware,R004,sweep_destination,True,True
125muDXjxQ2djE4wFM6gz8NLyjikAgLfGs,1,37.7097368560087,37.7097368560087,7.796420289169051e-05,1,0,0.0,1.0,87.76,Yes,W04393,125muDXjxQ2djE4wFM6gz8NLyjikAgLfGs,peeling,P007,starting_source,True,True
1LeEQSgR2EoHypRMKJ7RkZHj8rijSjvjAi,2,26.954065703478182,53.90813140695637,0.000109562611998,1,1,425.242338,0.5,86.97,Yes,W04234,1LeEQSgR2EoHypRMKJ7RkZHj8rijSjvjAi,peeling,P001,change,True,True
1ALjnVNjajzezZa2qeL1ir8XfZ5KQpVDgi,2,26.74523890226191,53.49047780452382,0.0001059402333249,1,1,356.054028,0.5,86.72,Yes,W04311,1ALjnVNjajzezZa2qeL1ir8XfZ5KQpVDgi,peeling,P004,change,True,True
1KYFpFr4DviFrHatRN1RYRzbx2CPB6c4UW,2,25.674984192372,51.349968384744,0.0001380466756216,1,1,700.429729,0.5,86.71,Yes,W04512,1KYFpFr4DviFrHatRN1RYRzbx2CPB6c4UW,peeling,P011,change,True,True
bc1qvde998534t4pqwk89pxwyz6j8gmn29xwmaetzh,2,25.60450684723204,51.20901369446408,7.345726670725258e-05,1,1,1155.712395,0.5,86.0,Yes,W04402,bc1qvde998534t4pqwk89pxwyz6j8gmn29xwmaetzh,peeling,P007,change,True,True
bc1pwmdqhd4gsn6pqwyrtn8ywjxhwj3zre5gvshf8m4ycr9uvgfnmlgsq4pzpk,1,29.80984192785529,29.80984192785529,0.0001308923637449,0,1,0.0,0.0,85.86,Yes,W04118,bc1pwmdqhd4gsn6pqwyrtn8ywjxhwj3zre5gvshf8m4ycr9uvgfnmlgsq4pzpk,ransomware,R003,sweep_destination,True,True
1NCZ4F1pK1GxMCTueCWdFmq7a2jfdQEoTq,2,25.905909277984858,51.81181855596972,7.848847752330982e-05,1,1,625.088755,0.5,85.09,Yes,W04313,1NCZ4F1pK1GxMCTueCWdFmq7a2jfdQEoTq,peeling,P004,change,True,True
3Pps4U3DAKDuXV75BJqzsEEL3PwwL1cgam,2,26.31109845430784,52.622196908615685,8.158188298666162e-05,1,1,703.158021,0.5,84.71,Yes,W04236,3Pps4U3DAKDuXV75BJqzsEEL3PwwL1cgam,peeling,P001,change,True,True
1B5s6D9dw6hByUhZ54suktnLgH6iKcyehn,2,26.36109286094774,52.72218572189548,8.987988299558497e-05,1,1,315.421997,0.5,84.63,Yes,W04510,1B5s6D9dw6hByUhZ54suktnLgH6iKcyehn,peeling,P011,change,True,True
1GpfidoYwB2f9iiHRBiWrYeiVQV5Xasrja,1,26.203661877956502,26.203661877956502,1.9460417757858468e-05,0,1,0.0,0.0,84.59,Yes,W04079,1GpfidoYwB2f9iiHRBiWrYeiVQV5Xasrja,ransomware,R002,sweep_destination,True,True
bc1q0cntnywtua7k3zjtvc8frv99mkhh906tq5w3wk,2,24.394143569608733,48.788287139217466,0.0001168342267038,1,1,727.505182,0.5,84.02,Yes,W04404,bc1q0cntnywtua7k3zjtvc8frv99mkhh906tq5w3wk,peeling,P007,change,True,True
36dmvHQd5oQexhCCLjHQrmBtMMb1giT7Qg,2,24.72298818556088,49.44597637112176,7.458782268011161e-05,1,1,952.931824,0.5,83.69,Yes,W04238,36dmvHQd5oQexhCCLjHQrmBtMMb1giT7Qg,peeling,P001,change,True,True
1HGY6A4RGPUapffmxxPYftvDc8mwYXxLVc,1,10.930384676640829,10.930384676640829,0.0002932272680701,0,1,0.0,0.0,82.76,Yes,W04533,1HGY6A4RGPUapffmxxPYftvDc8mwYXxLVc,peeling,P012,change,True,True
16Q65e7UrC3HKmupo3vJr1dWuqjsD8N9Fw,2,24.09926862684345,48.1985372536869,7.84989105509598e-05,1,1,869.461675,0.5,82.67,Yes,W04315,16Q65e7UrC3HKmupo3vJr1dWuqjsD8N9Fw,peeling,P004,change,True,True
3A2mHHXA9roRKeQaZCEXzSxf98iHDBPXZN,2,23.102646660681216,46.20529332136243,0.0001147843176505,1,1,1571.834486,0.5,81.7,Yes,W04317,3A2mHHXA9roRKeQaZCEXzSxf98iHDBPXZN,peeling,P004,change,True,True
bc1qs60l5aq9dn9kj5f9rq88lg3ltwp0wykj7lcz9z,58,2.9750875258014764,172.55507649648564,0.0001006848170813,1,57,37212.33633796492,0.0172413793103448,80.81,Yes,W04058,bc1qs60l5aq9dn9kj5f9rq88lg3ltwp0wykj7lcz9z,ransomware,R001,collector,True,True
bc1qkcn98hqlkafshdrdc6sdcucjmjf3xn3g9errsn,1,23.75802463900549,23.75802463900549,0.0001106720782716,0,1,0.0,0.0,80.55,Yes,W04514,bc1qkcn98hqlkafshdrdc6sdcucjmjf3xn3g9errsn,peeling,P011,change,True,True
bc1qjatt2xdfdak7ysgj32szuxw7ml4ewf7n4wnmkd,50,3.047013288803155,152.35066444015774,9.49334488575826e-05,1,49,55745.596191326535,0.02,80.28,Yes,W04229,bc1qjatt2xdfdak7ysgj32szuxw7ml4ewf7n4wnmkd,ransomware,R006,collector,True,True
13xHn718RabTSLgm6yqLBax2WaNq9U45Yv,1,23.29076568042004,23.29076568042004,0.0001436505271428,0,1,0.0,0.0,80.27,Yes,W04406,13xHn718RabTSLgm6yqLBax2WaNq9U45Yv,peeling,P007,change,True,True
1NUjFySEF29tZsVY6Bn631EgC7owcwwHfk,2,23.509871267480868,47.019742534961736,8.344324003922392e-05,1,1,454.060982,0.5,80.2,Yes,W04240,1NUjFySEF29tZsVY6Bn631EgC7owcwwHfk,peeling,P001,change,True,True
3PKJX7TikLfiffBjfiRdaxyrdCdwAB5V9Z,5,1.40646582909651,7.03232914548255,2.604425674122743e-05,0,5,1341579.0620535,0.0,79.99,Yes,W03373,3PKJX7TikLfiffBjfiRdaxyrdCdwAB5V9Z,legit,,normal,False,True
3DxPwZ2rn5w6iTdMcw9k4wPcFKFLmgkhYp,2,0.9993034190011312,1.9986068380022624,0.0004214161967281,1,1,34749.773727,0.5,79.67,Yes,W04689,3DxPwZ2rn5w6iTdMcw9k4wPcFKFLmgkhYp,mixing,M001,participant,True,True
172kT9LWTzPso9NMoDAjPfqn7z5Qd3NyiQ,1,22.94701443969621,22.94701443969621,5.930046616074785e-05,0,1,0.0,0.0,79.66,Yes,W04242,172kT9LWTzPso9NMoDAjPfqn7z5Qd3NyiQ,peeling,P001,change,True,True
1EhEcuHyiCyMLhTrMhPFA4XDz7nbM5TB4i,1,19.3359684081321,19.3359684081321,1.028540550934245e-05,1,0,0.0,1.0,79.05,Yes,W04456,1EhEcuHyiCyMLhTrMhPFA4XDz7nbM5TB4i,peeling,P010,starting_source,True,True
1N98VKk7z4DXn449VGeTksSYWfJEUw7VPj,1,16.949346878401148,16.949346878401148,0.0001746339146016,1,0,0.0,1.0,78.97,Yes,W04265,1N98VKk7z4DXn449VGeTksSYWfJEUw7VPj,peeling,P003,starting_source,True,True
1ByyghPY6H9v4Qmkn5QRCYqgCBH3sE9LR4,1,4.999487075769281,4.999487075769281,0.0005129242307187,0,1,0.0,0.0,78.11,Yes,W04922,1ByyghPY6H9v4Qmkn5QRCYqgCBH3sE9LR4,mixing,M005,participant,True,True
112vhWKHoS4F5zrwRuUtPh8jEmsEgD2fUW,1,5.0,5.0,0.0005129242307187,1,0,0.0,1.0,77.84,Yes,W04619,112vhWKHoS4F5zrwRuUtPh8jEmsEgD2fUW,mixing,M005,participant,True,True
31jA8mH2kvfcKjamoXGqgDDPyin8Er1cZJ,2,22.41588776710929,44.83177553421857,8.949590704565845e-05,1,1,295.611143,0.5,77.8,Yes,W04319,31jA8mH2kvfcKjamoXGqgDDPyin8Er1cZJ,peeling,P004,change,True,True
bc1qpkaru20j93eya79g9v799guxhyhw5atg260q2l,1,6.183339869008961,6.183339869008961,0.000374829181652,0,1,0.0,0.0,77.68,Yes,W04454,bc1qpkaru20j93eya79g9v799guxhyhw5atg260q2l,peeling,P009,change,True,True
bc1pp97q38t8wf9sqgussxq4agj3qku2yfuek0nuzjkq53xy0lny8maqshrnre,1,4.999363620299915,4.999363620299915,0.0004115528589904,0,1,0.0,0.0,77.63,Yes,W04840,bc1pp97q38t8wf9sqgussxq4agj3qku2yfuek0nuzjkq53xy0lny8maqshrnre,mixing,M003,participant,True,True
bc1perg88p364qfr6uj3rswtfre8mney2v207tzkvpf5y9edlwlmrmlstpwu7r,1,17.288957217907413,17.288957217907413,1.2818858335063998e-05,0,1,0.0,0.0,76.96,Yes,W04327,bc1perg88p364qfr6uj3rswtfre8mney2v207tzkvpf5y9edlwlmrmlstpwu7r,peeling,P004,change,True,True
bc1qlk257fdptvzqzet3s8cy3vfe2yjrlgj7u8726v,2,0.0994920556116156,0.1989841112232313,0.0003367784916417,1,1,36229.037837,0.5,76.59,Yes,W04869,bc1qlk257fdptvzqzet3s8cy3vfe2yjrlgj7u8726v,mixing,M004,participant,True,True
bc1q3sygp3lmx4wvzeamqq2qtycwjey4vylc3cmxsm,6,0.7353071323431908,4.411842794059145,0.000128387166797,2,4,1528865.4962117998,0.4,76.3,Yes,W03435,bc1q3sygp3lmx4wvzeamqq2qtycwjey4vylc3cmxsm,legit,,normal,False,True
bc1q8t3rpfx2ldh83wlm743vpjrnrzrk3pdxes84mj,35,3.008864568445143,105.31025989558,0.0001149917661792,12,23,227975.95128591172,0.5,75.91,Yes,W02306,bc1q8t3rpfx2ldh83wlm743vpjrnrzrk3pdxes84mj,legit,,normal,False,True
3FFhVtCfcRa7agKwHC6x7rLoLzLv8h5P7d,1,5.0,5.0,0.0003905673549114,1,0,0.0,1.0,75.59,Yes,W04605,3FFhVtCfcRa7agKwHC6x7rLoLzLv8h5P7d,mixing,M005,participant,True,True
bc1q0sd8d90ja4zha6dkhel4mvrevkpep4w8k8j6a7,28,4.054918019614613,113.53770454920917,0.0001324834845526,15,13,280514.766263,1.0714285714285714,75.54,Yes,W01956,bc1q0sd8d90ja4zha6dkhel4mvrevkpep4w8k8j6a7,legit,,normal,False,True
