rank,wallet,confidence_pct,risk_level,is_anomaly,reason,tx_count,avg_amount,total_amount,avg_fee,avg_time_gap_seconds
1,1CLGfLVNJvPivTSnh4HJ12AQkvJwv34Sue,100.0,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-4.115) ; total transaction volume (pushed toward suspicious, impact=-1.815)",1,86.27742101564647,86.27742101564647,0.0001172325963507,0.0
2,bc1qmfrmma84yyjyv4j5kjyw0kyssyu0rpkrqe8w74,98.9,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-4.313) ; total transaction volume (pushed toward suspicious, impact=-1.333)",1,76.17521389597096,76.17521389597096,0.0001183241079292,0.0
3,bc1qww3hsfq8gtyjp7f8dfgsnft77d6xpatqsawuu8,96.8,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-3.924) ; total transaction volume (pushed toward suspicious, impact=-1.434)",2,38.89846320687609,77.79692641375217,6.121334386512405e-05,1697.562023
4,127YDyyydje7eUPc1soMzwmAUdYUDDkHtN,96.2,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-3.835) ; transaction count (pushed toward suspicious, impact=-1.034)",2,31.369531131484266,62.73906226296853,2.8155817898307103e-05,1434.70848
5,1BJSQsvwi8cs9pBmmZGs9GsP9BFP6KTxNs,96.1,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-3.869) ; total transaction volume (pushed toward suspicious, impact=-1.186)",2,36.22764262678228,72.45528525356455,4.6220524387062745e-05,1632.327904
6,bc1qmj7gmryj6evpnwuuz28azlzeppudelp43gu3km,96.0,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-3.825) ; total transaction volume (pushed toward suspicious, impact=-1.339)",2,38.037128120717846,76.07425624143569,5.077450480855405e-05,406.715928
7,bc1qstp0ylj0ysa9m77ly77cagveelg7fhywmzxc7w,94.7,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-3.902) ; transaction count (pushed toward suspicious, impact=-1.008)",2,33.06563611550683,66.13127223101365,4.4734523226370605e-05,1565.228636
8,154NMojWTHTYc12aKqjy9BDixkATQMb4wu,94.7,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-3.810) ; total transaction volume (pushed toward suspicious, impact=-1.088)",2,34.14711199452209,68.29422398904418,4.396796060737213e-05,1097.332547
9,bc1qm96vntchhz0704d5x5sdev8y8zqfu7zf668wnl,93.7,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-4.140) ; transaction count (pushed toward suspicious, impact=-1.135)",2,34.95947629815315,69.9189525963063,0.0001179168134504,717.086498
10,1AhZq3UDRPUFZmKRCJeJtkK4SpCqny1fE6,92.8,High,Yes,"SHAP explanation: average transaction amount (pushed toward suspicious, impact=-3.850) ; transaction count (pushed toward suspicious, impact=-1.058)",2,29.95461980438137,59.90923960876273,4.656364890882876e-05,636.459208
