wallet,cluster_id,cluster_size,suspicion_score,is_anomaly,cluster_risk_score,cluster_anomaly_count
112vhWKHoS4F5zrwRuUtPh8jEmsEgD2fUW,210,2,77.84,Yes,77.97,2
1ByyghPY6H9v4Qmkn5QRCYqgCBH3sE9LR4,210,2,78.11,Yes,77.97,2
bc1qemraxdz8zs8ytljhtg3nc2j7z87dxfwu2jaa90,284,3,56.46,Yes,68.29,3
bc1p058fhvug6x5jn2khy7dllzu5akc2p68vp4706c2q7u34a4kx575spuegy0,284,3,70.78,Yes,68.29,3
bc1pp97q38t8wf9sqgussxq4agj3qku2yfuek0nuzjkq53xy0lny8maqshrnre,284,3,77.63,Yes,68.29,3
125muDXjxQ2djE4wFM6gz8NLyjikAgLfGs,246,15,87.76,Yes,64.37,8
154NMojWTHTYc12aKqjy9BDixkATQMb4wu,246,15,94.73,Yes,64.37,8
3ACdJnAjyv4SRgJEbCxNTqK9hnC8yfx53j,246,15,35.17,No,64.37,8
127YDyyydje7eUPc1soMzwmAUdYUDDkHtN,246,15,96.15,Yes,64.37,8
1CjfPwwF32WDqb9G9Yo4cLDdZkdphWETXV,246,15,41.74,No,64.37,8
31wXvyQiJcSKrodskLHCVZbc1h7xNYYFnV,246,15,90.9,Yes,64.37,8
3Fjc8WCXzKXPG9qKiuQntZ7erFbZkdfGSV,246,15,32.01,No,64.37,8
bc1q50vyftultcuwfq20qfnwsnwdpklssvvde2f456,246,15,89.61,Yes,64.37,8
bc1q7k20uaz3s6zyyv5uy3q6wys23p78dp2ju6zt6w,246,15,50.84,No,64.37,8
bc1qvde998534t4pqwk89pxwyz6j8gmn29xwmaetzh,246,15,86.0,Yes,64.37,8
bc1qfpdlq9f4krnaa6uxu9849x5l3m9xh35pjcaqk0,246,15,31.33,No,64.37,8
bc1q0cntnywtua7k3zjtvc8frv99mkhh906tq5w3wk,246,15,84.02,Yes,64.37,8
39QWA2DcguRzGhWBpTjNrwcH9BALny8vbZ,246,15,29.16,No,64.37,8
13xHn718RabTSLgm6yqLBax2WaNq9U45Yv,246,15,80.27,Yes,64.37,8
18eEPgGYCCbSoZRmYy6mEp3411iRXxuE1b,246,15,35.91,No,64.37,8
33H84B5LmnerfAASjYmo9NHGV7D3Jx3XxM,250,23,88.28,Yes,63.5,12
bc1qww3hsfq8gtyjp7f8dfgsnft77d6xpatqsawuu8,250,23,96.84,Yes,63.5,12
bc1ph668ylps8588pwc555zpyp3nj539j72e22mj3sqk2swnry0psuystj6tzn,250,23,26.0,No,63.5,12
bc1qmj7gmryj6evpnwuuz28azlzeppudelp43gu3km,250,23,96.04,Yes,63.5,12
bc1qyqps0j6yytzjm49dgcqvya6gplgwk2umyglvkf,250,23,27.2,No,63.5,12
1BJSQsvwi8cs9pBmmZGs9GsP9BFP6KTxNs,250,23,96.08,Yes,63.5,12
1JbXXgzkH5YrjG7nFZxUdrj7SGRREtqaE5,250,23,30.4,No,63.5,12
bc1qstp0ylj0ysa9m77ly77cagveelg7fhywmzxc7w,250,23,94.73,Yes,63.5,12
3Aba4e6UFp89p42DHajLoD8CFV7p2XUeGx,250,23,35.89,No,63.5,12
bc1p5gkq44ptlm3qh3swwt2fqa2hwkcf8ry0vj09pns6dyl8pmtxxypqu9av4y,250,23,91.04,Yes,63.5,12
1BDECSRMxddL91y2XabmVqBijY2P5WisWB,250,23,26.35,No,63.5,12
bc1qr742m20l3n97z3gfwzzuyx6hxzh2rclgcja9hl,250,23,91.84,Yes,63.5,12
bc1qr738c9fm4nqtv8uhyls95lmkfjtsrxh62cljxn,250,23,34.87,No,63.5,12
bc1q85m3lh2jmm7yw0mp8hsvk7s2yesq22y7x5eqen,250,23,90.38,Yes,63.5,12
1DHHGRCWkKfvYXsbFdCGeHR2AgmbT9ti7m,250,23,31.88,No,63.5,12
3FmK2pVT9x7jWEdVpc2GtcJ9SeZHMbMcki,250,23,90.54,Yes,63.5,12
1JTkrXCXJBwhgGFxjxHt3AkUQCQvAseyRL,250,23,50.17,No,63.5,12
1B5s6D9dw6hByUhZ54suktnLgH6iKcyehn,250,23,84.63,Yes,63.5,12
bc1q7748sa7nrnmt9q2rgawm9ph4z3y6w45acrqm08,250,23,36.22,No,63.5,12
1KYFpFr4DviFrHatRN1RYRzbx2CPB6c4UW,250,23,86.71,Yes,63.5,12
bc1qqmtj3tmhgt7npt8f62p3azc6f6ea4mltx0fp9v,250,23,41.53,No,63.5,12
bc1qkcn98hqlkafshdrdc6sdcucjmjf3xn3g9errsn,250,23,80.55,Yes,63.5,12
1GbSTtZSLw74Dni9LyVmKrVoY7z8TXY87z,250,23,32.31,No,63.5,12
bc1qeaw8gt7g4h3cgwgwhm7673jdzupjr6lqcdtenf,275,6,61.39,Yes,62.92,4
1F2Jx2j77qrWC72e4khYrdaAhgWnUQohqq,275,6,72.11,Yes,62.92,4
14k8Qn8Cu65RW1VWkNTc5Q6f9kax6mHNs6,275,6,69.7,Yes,62.92,4
1PoGHezaKEjQ1wuCwvZGTKQ6mTQoobQjFk,275,6,65.01,Yes,62.92,4
bc1qew5uj20pyaqqypmg5n6djrl47sfqtxtjf4jlcd,275,6,54.01,No,62.92,4
bc1q5uely3q9zuf39tdn032fnf7gsj4efldylw6wdq,275,6,55.31,No,62.92,4
3FFhVtCfcRa7agKwHC6x7rLoLzLv8h5P7d,187,5,75.59,Yes,61.87,4
14n5CMwYgnWY9mVFthvTCP7RRiypyhxQ25,187,5,65.47,Yes,61.87,4
bc1qhvqw5gsqqg72ju8pnxqdz5h0k6s8mx0akhnswn,187,5,59.92,Yes,61.87,4
1PKYBsrRdrTXyJwa1d79Xg5g7eiksQAncX,187,5,66.43,Yes,61.87,4
bc1q75hrmvwk472qqfx7lxdj3hx2udznschu63umte,187,5,41.94,No,61.87,4
1HRvqRvxJtm9gmcfDdrFbV4wUsbr2zg2gA,295,3,71.57,Yes,61.39,2
bc1paj8mehymupwvp654t8j9nhq9av9mfpgqn8fxk5fvkeyezj0r0dzsy9s6na,295,3,65.88,Yes,61.39,2
1MY3gFheeEXAT3f9rccmP9sXwoxvX2Evji,295,3,46.73,No,61.39,2
bc1pf6llflkfuhlrf37qw98uuvgex8d2g92t04x6rf52940ywv3kuxfq5rrukp,240,13,89.65,Yes,61.05,7
bc1qpceyfulk87hthm3feleepqnr2p2crq63amrjxq,240,13,92.22,Yes,61.05,7
1CT76zpNmgPhgyZJYuoqa5K1ZSTS9bsPte,240,13,40.05,No,61.05,7
1LeEQSgR2EoHypRMKJ7RkZHj8rijSjvjAi,240,13,86.97,Yes,61.05,7
38wBCzzha7cz9bya8EpuJpHmjGJ5g1K1rN,240,13,35.79,No,61.05,7
3Pps4U3DAKDuXV75BJqzsEEL3PwwL1cgam,240,13,84.71,Yes,61.05,7
bc1p4pjraahfnt44yq983fu2pla34u63sgdmhrj33n6d8jply6j99t4sqgnyxe,240,13,32.42,No,61.05,7
36dmvHQd5oQexhCCLjHQrmBtMMb1giT7Qg,240,13,83.69,Yes,61.05,7
3H25EHwRmKoyqDrJwmJ5Am6FgT23Qj5geG,240,13,29.75,No,61.05,7
1NUjFySEF29tZsVY6Bn631EgC7owcwwHfk,240,13,80.2,Yes,61.05,7
bc1p3qykuntr0tcpl6zgzf7zv8yg2z850y4c8v5jfq2pwmppl06vzlhqgv7e2l,240,13,30.18,No,61.05,7
172kT9LWTzPso9NMoDAjPfqn7z5Qd3NyiQ,240,13,79.66,Yes,61.05,7
3KqAak4VrSoxf7aXoiNxxwwBc1L8D81TWV,240,13,28.32,No,61.05,7
1GCKXtdKHAkfvNQRr6JUS5aw5X2gT1UWvc,32,2,60.09,Yes,60.14,2
bc1qr29avcmwezj9ndhfjltva93mvh4n2mggnzj2mn,32,2,60.2,Yes,60.14,2
bc1pegeyvrvxuetektmcxvrepny9a28qxcthcv2hsnqr7akxec2g93qseh67pf,243,27,90.8,Yes,59.78,14
bc1qm96vntchhz0704d5x5sdev8y8zqfu7zf668wnl,243,27,93.71,Yes,59.78,14
1BuciwgaQGeEc5YiSW9ipUB8DBHtLJAxPw,243,27,46.74,No,59.78,14
1N39hpTRmApyD9aVxDUh8ofoZqgSS4apnG,243,27,92.71,Yes,59.78,14
bc1p4fjnhv5n4gdhn04hpd4lzz95uzr6007t8hlqk2mtrj36wyxfzcwqvuf74g,243,27,32.23,No,59.78,14
1AhZq3UDRPUFZmKRCJeJtkK4SpCqny1fE6,243,27,92.85,Yes,59.78,14
bc1qtflu0d00ec650jgdvn9c9ea2ntn9ffk06yh3sq,243,27,33.12,No,59.78,14
bc1qc2xkvmeu960ng3prkqdg2pv6h50pmg5cpzge6d,243,27,92.19,Yes,59.78,14
bc1qkh8qcy275pnwcjhg530r6dp72sqr8scs66r5fy,243,27,29.62,No,59.78,14
1ALjnVNjajzezZa2qeL1ir8XfZ5KQpVDgi,243,27,86.72,Yes,59.78,14
bc1qnshj2ctpl3873r8jg60andldp3sdwurevuzp0v,243,27,32.0,No,59.78,14
1NCZ4F1pK1GxMCTueCWdFmq7a2jfdQEoTq,243,27,85.09,Yes,59.78,14
14K13AH1n1PvFCxBySBvj28NjuLpWbFZKs,243,27,37.34,No,59.78,14
16Q65e7UrC3HKmupo3vJr1dWuqjsD8N9Fw,243,27,82.67,Yes,59.78,14
bc1p0g8vj6wx6x5vt66dy85cmaa8twz46yqxr33n3ajum5rpa9k52c3swcra25,243,27,41.68,No,59.78,14
3A2mHHXA9roRKeQaZCEXzSxf98iHDBPXZN,243,27,81.7,Yes,59.78,14
bc1qqcta5hcptvx8tlsfxkwc0ayet5yqsw743lzzks,243,27,36.73,No,59.78,14
31jA8mH2kvfcKjamoXGqgDDPyin8Er1cZJ,243,27,77.8,Yes,59.78,14
1BNv9aK9FDcRKzYr7qPr32265Tw5g5KRRD,243,27,28.83,No,59.78,14
3JTLuRpk4aMc31bQxmmNppxDwehd8GMWeq,243,27,74.94,Yes,59.78,14
bc1pk2nlgmgxqzwsc9w7rlwk0p2ftp5thm63r33spa6xva7vnwztdn5suh6enc,243,27,31.56,No,59.78,14
3PgTdZnyW5AvgwmQaFp4no1PtLquzSimLT,243,27,74.03,Yes,59.78,14
129hevVCAfCewgvmYAGtMQ8ebNsgYRgVic,243,27,26.74,No,59.78,14
17o8Ue6iqoNrmyrYUzLuzMC28niRpM41M4,243,27,71.24,Yes,59.78,14
bc1qahsyq8dxptxreed3vwv0pxtfmkyuyqd73ahyqc,243,27,29.58,No,59.78,14
bc1perg88p364qfr6uj3rswtfre8mney2v207tzkvpf5y9edlwlmrmlstpwu7r,243,27,76.96,Yes,59.78,14
33QR8Nk1LFUKfU5kYjPTnTpBrPedbksguZ,243,27,34.54,No,59.78,14
14WyrcjaPmeoEK9AVqB2hbqaY5bQS6JipA,288,3,73.36,Yes,56.98,2
bc1qcwsnmejd5w0sxu46rypr6vppmfazquwjnsqc3x,288,3,58.17,Yes,56.98,2
13wjkxptWjLCEHUHuP1atPaKP24CPbZwQZ,288,3,39.41,No,56.98,2
1Q634NpmPZjGWrPB1TdJ2cVkzVGEvf5Vwy,271,6,36.56,No,56.64,4
1GR1BHrzM4bRGBDhbGerzKg7uG2kPXiaCf,271,6,58.48,Yes,56.64,4
bc1q548v2y3f7xpp98kx0p8p30u9g33un7jxchen9e,271,6,66.98,Yes,56.64,4
bc1qwl9j6w5g7sxzcgsxguhp8pm2nkq7ctfuhl29q3,271,6,73.67,Yes,56.64,4
bc1q3e5ffvkvkmpjemzmgcstvhhgusjjdvevhj7386,271,6,55.51,Yes,56.64,4
16vFR9wm8r4a4DwATZEKG9fkiM1SkHsQhc,271,6,48.67,No,56.64,4
17BxTaJFStLFxFqptwGAhqcBgqv2YnuY9g,194,5,43.43,No,53.34,2
bc1q8jufqp9yn57ucud2c60wcuue55xxamkpap7wav,194,5,46.02,No,53.34,2
1AmqS6HtRMYTVTx3RpbkzVuqnCMEio5PtF,194,5,41.93,No,53.34,2
bc1q8vlnf7n3kkn3h6z0jnepemhhaqtus4us9ff53m,194,5,63.51,Yes,53.34,2
bc1qp2g0y2kkjladp2e50vtp8pay38lrh6gagqkvr6,194,5,71.83,Yes,53.34,2
39jHCnFM89tPaLWNrkWZUJskBDEM7bR6mM,251,19,73.81,Yes,53.31,11
33YD7x5d3DfTs8cZkn5ZCKpiQZkVDYoTZs,251,19,72.04,Yes,53.31,11
1BwsD8V6fTySetoVKW9Mi2mdMkYuuDJUtr,251,19,28.96,No,53.31,11
1DQSBALoaashsHKxxb5XRgHi8WfW4ykqhM,251,19,64.08,Yes,53.31,11
bc1qnrw4gkprurned3g6cnrw3ntr7dp62je9wn9p4y,251,19,29.75,No,53.31,11
37UQEZhyatx8n5npNhccAv2fhaDtaNoj8p,251,19,64.38,Yes,53.31,11
14KAZnEAw4SpxK2JyAySEKUQi8yTaMZWah,251,19,30.75,No,53.31,11
