wallet,tx_count,avg_amount,total_amount,avg_fee,sender_count,receiver_count,avg_time_gap_seconds,fan_ratio
112FnDXE3uyXKqhts1XU7F8JicngVsVREq,1,5.0,5.0,4.8532551798509165e-06,1,0,0.0,1.0
112ernrHzQsX4mrf7pj56KCHbX9Zdiq4TG,13,1.54961113789638,20.14494479265294,7.960192275605806e-05,2,11,593688.6378824167,0.16666666666666666
112tZqtPVvuyTQU2wqBraywuQkerimQX3j,24,2.3812073842700574,57.14897722248138,7.682889431731506e-05,7,17,294657.44073613035,0.3888888888888889
112vhWKHoS4F5zrwRuUtPh8jEmsEgD2fUW,1,5.0,5.0,0.0005129242307187,1,0,0.0,1.0
113FxAvv9u5NMBraKUGZJWY5m28iymszHZ,14,2.833671822745007,39.6714055184301,9.25668236564248e-05,5,9,491836.7595859999,0.5
114opLxUeut8MNKwS7Tcy9nLzneKs2R7Wr,16,2.248825209988415,35.98120335981464,8.915939258897143e-05,4,12,469261.55371406674,0.3076923076923077
116Cp8JngXw7qx9QDkmiEFWL8cNDoqE5HD,12,2.406542931596799,28.87851517916159,0.00010798195294370955,2,10,671486.3357084545,0.18181818181818182
116E73bf2KKY5CNtLNojL5j7x9nnVZR6Bh,18,1.483087791572001,26.695580248296018,0.00014538690618000355,4,14,406213.70750494115,0.26666666666666666
11jYGVUJWJUahoXQ9deiEYH8R9G7nqRtU,23,1.7931104580484132,41.2415405351135,7.959670128995874e-05,5,18,301664.13937472727,0.2631578947368421
121aMR17WL92aUxMw3q9byvwSicK8gBv8u,27,1.9406477698406048,52.39748978569633,0.00010937488371539142,6,21,282487.59451673075,0.2727272727272727
122VyLn3EbK76XPEB8CHNqw4TPmU9yrRw9,21,2.21440379202832,46.50247963259473,8.88411668928205e-05,7,14,351316.21852455,0.4666666666666667
122cFMf3eyqoWCMhXpw5m8dRgSSTLCHUWs,33,2.027170704175976,66.89663323780721,8.906167852021688e-05,15,18,235863.46632659377,0.7894736842105263
1243iZbMD4L6E12iK9yUECQTyvnWjKAanW,24,2.418227948671967,58.03747076812721,0.00015633550889378403,5,19,289073.46692904347,0.25
125QbbMpRd1DUKbhhhRkocQJbcpjQdBwyG,20,1.570511600750415,31.4102320150083,8.90083658996987e-05,8,12,356697.6309302631,0.6153846153846154
125muDXjxQ2djE4wFM6gz8NLyjikAgLfGs,1,37.7097368560087,37.7097368560087,7.796420289169051e-05,1,0,0.0,1.0
1261ar399Dik2oQyx6Zovk8YgTWwcY9rnq,24,2.5670770370818343,61.60984888996403,8.282250324549594e-05,8,16,296819.9282161305,0.47058823529411764
1268JHQJqc4iuX5j7acWHqajW9kzBrh55Q,20,2.36176620922729,47.235324184545796,9.953654788832701e-05,3,17,404972.2315873684,0.16666666666666666
126HAW6oCv4X6nAmy4qPmjsKKtWMHiFwE9,24,1.7746056685130087,42.59053604431221,7.750497141431751e-05,12,12,295865.10405695654,0.9230769230769231
127YDyyydje7eUPc1soMzwmAUdYUDDkHtN,2,31.369531131484266,62.73906226296853,2.8155817898307106e-05,1,1,1434.70848,0.5
128AJZrWVZjRh5AiraEFUVJntk1cM7hKUh,20,2.5798973752077687,51.59794750415538,6.89928751753823e-05,5,15,386449.5446864737,0.3125
129GtbR3aNtTaECFAcxHvSjb9GGkqsqMEL,17,2.97948018789471,50.65116319421007,0.00010882771852434848,3,14,402865.31249425,0.2
129Q9zE8MLvcsGH5mK96MVB81awCHAS3kg,1,0.09949268266880594,0.09949268266880594,0.000269856971063,0,1,0.0,0.0
129WxNh1xu6JL5C5wVPFuXMggYogp9MSWu,30,2.8127049255591285,84.38114776677385,0.0001132613791232727,10,20,259912.01591055177,0.47619047619047616
129hevVCAfCewgvmYAGtMQ8ebNsgYRgVic,1,0.8657692948136789,0.8657692948136789,4.109558194415653e-05,0,1,0.0,0.0
12CxJ3kQrYJSKT4cGsU8SLuNNVWtYddPz2,22,2.6805125374683025,58.97127582430265,8.609999753644436e-05,9,13,338871.1099793334,0.6428571428571429
12EUjnY1UTovnbiU3oTMTuZerumH2hWgeR,24,2.677496679106785,64.25992029856285,0.00011352964218809634,7,17,255152.48678669563,0.3888888888888889
12FU6BYxC2m6266rD6KnqTDqEwRzwgutDm,23,1.6870330325558591,38.80175974878476,0.00010392593906030767,10,13,302010.4777502727,0.7142857142857143
12FZoEgMi69ELYdeM95r5h4C3r5DHfg62v,15,1.689930252647065,25.348953789705973,0.00013745242339749996,4,11,511949.40616871434,0.3333333333333333
12GReXtF9HEdcv4FhiyFEyryGC3bproFWw,21,1.7639188449176137,37.04229574326989,6.817581583543076e-05,6,15,367882.44090505,0.375
12HLqcqDTp9vbcs2F1vuS9TGvEkpsbyRoL,25,2.5095056444100226,62.737641110250564,9.875434437401213e-05,8,17,259142.30807279167,0.4444444444444444
